"","Income","Start","End","M","P","M","O","Att","Prop","#","Amount"
"11 Jan 2025","+0.00207 ETH","32.0042 ETH","32.00627 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Jan 2025","+0.00205 ETH","32.00214 ETH","32.00419 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Jan 2025","+0.00207 ETH","32.00006 ETH","32.00213 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Jan 2025","+0.00208 ETH","32.01723 ETH","32.00006 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Jan 2025","+0.00207 ETH","32.01515 ETH","32.01722 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Jan 2025","+0.00208 ETH","32.01307 ETH","32.01514 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Jan 2025","+0.00206 ETH","32.011 ETH","32.01306 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Jan 2025","+0.00206 ETH","32.00893 ETH","32.01099 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Jan 2025","+0.00207 ETH","32.00686 ETH","32.00892 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Jan 2025","+0.00207 ETH","32.00478 ETH","32.00685 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Jan 2025","+0.00208 ETH","32.00269 ETH","32.00477 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Dec 2024","+0.00208 ETH","32.0006 ETH","32.00268 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Dec 2024","+0.00208 ETH","32.01791 ETH","32.00059 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Dec 2024","+0.00208 ETH","32.01583 ETH","32.01791 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Dec 2024","+0.00208 ETH","32.01374 ETH","32.01582 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Dec 2024","+0.00208 ETH","32.01166 ETH","32.01373 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Dec 2024","+0.00208 ETH","32.00957 ETH","32.01165 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Dec 2024","+0.00207 ETH","32.0075 ETH","32.00957 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Dec 2024","+0.00207 ETH","32.00542 ETH","32.00749 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Dec 2024","+0.00207 ETH","32.00335 ETH","32.00541 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Dec 2024","+0.00208 ETH","32.00127 ETH","32.00334 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Dec 2024","+0.00207 ETH","32.01864 ETH","32.00126 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Dec 2024","+0.00207 ETH","32.01657 ETH","32.01863 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Dec 2024","+0.00207 ETH","32.01449 ETH","32.01656 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Dec 2024","+0.00207 ETH","32.01241 ETH","32.01448 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Dec 2024","+0.00207 ETH","32.01034 ETH","32.01241 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Dec 2024","+0.00207 ETH","32.00826 ETH","32.01033 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Dec 2024","+0.00208 ETH","32.00618 ETH","32.00825 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Dec 2024","+0.00207 ETH","32.0041 ETH","32.00617 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Dec 2024","+0.00207 ETH","32.00203 ETH","32.00409 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Dec 2024","+0.00207 ETH","32.01941 ETH","32.00202 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Dec 2024","+0.00208 ETH","32.01733 ETH","32.0194 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Dec 2024","+0.00207 ETH","32.01525 ETH","32.01732 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Dec 2024","+0.00206 ETH","32.01318 ETH","32.01524 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Dec 2024","+0.00207 ETH","32.01111 ETH","32.01318 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Dec 2024","+0.00206 ETH","32.00904 ETH","32.0111 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Dec 2024","+0.00206 ETH","32.00697 ETH","32.00903 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Dec 2024","+0.00206 ETH","32.0049 ETH","32.00696 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Dec 2024","+0.00204 ETH","32.00286 ETH","32.00489 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Dec 2024","+0.00206 ETH","32.00079 ETH","32.00285 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Dec 2024","+0.00207 ETH","32.01827 ETH","32.00078 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Dec 2024","+0.00206 ETH","32.0162 ETH","32.01826 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Nov 2024","+0.00206 ETH","32.01414 ETH","32.0162 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Nov 2024","+0.00207 ETH","32.01206 ETH","32.01413 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Nov 2024","+0.00207 ETH","32.00999 ETH","32.01205 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Nov 2024","+0.00206 ETH","32.00792 ETH","32.00998 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Nov 2024","+0.00207 ETH","32.00585 ETH","32.00791 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Nov 2024","+0.00206 ETH","32.00378 ETH","32.00584 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Nov 2024","+0.00207 ETH","32.00171 ETH","32.00377 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Nov 2024","+0.00207 ETH","32.01916 ETH","32.0017 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Nov 2024","+0.00208 ETH","32.01708 ETH","32.01915 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Nov 2024","+0.00207 ETH","32.01501 ETH","32.01707 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Nov 2024","+0.00206 ETH","32.01294 ETH","32.015 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Nov 2024","+0.00207 ETH","32.01087 ETH","32.01293 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Nov 2024","+0.00207 ETH","32.0088 ETH","32.01086 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Nov 2024","+0.00207 ETH","32.00672 ETH","32.00879 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Nov 2024","+0.00206 ETH","32.00465 ETH","32.00671 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Nov 2024","+0.00206 ETH","32.00259 ETH","32.00464 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Nov 2024","+0.00206 ETH","32.00052 ETH","32.00258 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Nov 2024","+0.00206 ETH","32.01803 ETH","32.00051 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Nov 2024","+0.00207 ETH","32.01595 ETH","32.01802 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Nov 2024","+0.00206 ETH","32.01389 ETH","32.01594 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Nov 2024","+0.00206 ETH","32.01182 ETH","32.01388 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Nov 2024","+0.00207 ETH","32.00975 ETH","32.01181 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Nov 2024","+0.00207 ETH","32.00768 ETH","32.00974 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Nov 2024","+0.00206 ETH","32.00562 ETH","32.00767 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Nov 2024","+0.00206 ETH","32.00355 ETH","32.00561 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Nov 2024","+0.00206 ETH","32.00149 ETH","32.00354 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Nov 2024","+0.00206 ETH","32.01881 ETH","32.00148 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Nov 2024","+0.00207 ETH","32.01674 ETH","32.0188 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Nov 2024","+0.00206 ETH","32.01468 ETH","32.01673 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Nov 2024","+0.00206 ETH","32.01261 ETH","32.01467 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Oct 2024","+0.00207 ETH","32.01053 ETH","32.0126 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Oct 2024","+0.00199 ETH","32.00854 ETH","32.01052 ETH","5","0","0","0","0","0","0","0 ETH"
"29 Oct 2024","+0.00205 ETH","32.00648 ETH","32.00853 ETH","1","0","0","0","0","0","0","0 ETH"
"28 Oct 2024","+0.00202 ETH","32.00446 ETH","32.00647 ETH","1","0","0","0","0","0","0","0 ETH"
"27 Oct 2024","+0.00206 ETH","32.00239 ETH","32.00445 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Oct 2024","+0.00205 ETH","32.00033 ETH","32.00238 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Oct 2024","+0.00204 ETH","32.01769 ETH","32.00032 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Oct 2024","+0.00207 ETH","32.01562 ETH","32.01768 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Oct 2024","+0.00205 ETH","32.01356 ETH","32.01561 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Oct 2024","+0.00207 ETH","32.01148 ETH","32.01355 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Oct 2024","+0.00207 ETH","32.0094 ETH","32.01147 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Oct 2024","+0.00204 ETH","32.00736 ETH","32.00939 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Oct 2024","+0.00207 ETH","32.00529 ETH","32.00735 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Oct 2024","+0.00206 ETH","32.00322 ETH","32.00528 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Oct 2024","+0.00207 ETH","32.00115 ETH","32.00321 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Oct 2024","+0.00206 ETH","32.01857 ETH","32.00114 ETH","1","0","0","0","0","0","0","0 ETH"
"15 Oct 2024","+0.00207 ETH","32.0165 ETH","32.01856 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Oct 2024","+0.00207 ETH","32.01442 ETH","32.01649 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Oct 2024","+0.00207 ETH","32.01235 ETH","32.01441 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Oct 2024","+0.00207 ETH","32.01028 ETH","32.01234 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Oct 2024","+0.00206 ETH","32.00821 ETH","32.01027 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Oct 2024","+0.00208 ETH","32.00613 ETH","32.0082 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Oct 2024","+0.00203 ETH","32.0041 ETH","32.00612 ETH","2","0","0","0","0","0","0","0 ETH"
"08 Oct 2024","+0.00207 ETH","32.00202 ETH","32.00409 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Oct 2024","+0.00207 ETH","32.01933 ETH","32.00201 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Oct 2024","+0.00207 ETH","32.01725 ETH","32.01932 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Oct 2024","+0.00207 ETH","32.01518 ETH","32.01724 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Oct 2024","+0.00205 ETH","32.01312 ETH","32.01517 ETH","1","0","0","0","0","0","0","0 ETH"
"03 Oct 2024","+0.00207 ETH","32.01104 ETH","32.01311 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Oct 2024","+0.00206 ETH","32.00898 ETH","32.01103 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Oct 2024","+0.00207 ETH","32.00691 ETH","32.00897 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Sep 2024","+0.00207 ETH","32.00483 ETH","32.0069 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Sep 2024","+0.00205 ETH","32.00278 ETH","32.00482 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Sep 2024","+0.00205 ETH","32.00073 ETH","32.00277 ETH","1","0","0","0","0","0","0","0 ETH"
"27 Sep 2024","+0.00206 ETH","32.01801 ETH","32.00072 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Sep 2024","+0.00207 ETH","32.01594 ETH","32.018 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Sep 2024","+0.00207 ETH","32.01386 ETH","32.01593 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Sep 2024","+0.00207 ETH","32.01179 ETH","32.01385 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Sep 2024","+0.00205 ETH","32.00973 ETH","32.01178 ETH","1","0","0","0","0","0","0","0 ETH"
"22 Sep 2024","+0.00207 ETH","32.00766 ETH","32.00972 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Sep 2024","+0.00207 ETH","32.00558 ETH","32.00765 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Sep 2024","+0.00207 ETH","32.00351 ETH","32.00557 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Sep 2024","+0.00207 ETH","32.00144 ETH","32.0035 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Sep 2024","+0.00207 ETH","32.01863 ETH","32.00143 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Sep 2024","+0.00205 ETH","32.01657 ETH","32.01862 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Sep 2024","+0.00206 ETH","32.01451 ETH","32.01656 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Sep 2024","+0.00206 ETH","32.01245 ETH","32.0145 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Sep 2024","+0.00206 ETH","32.01038 ETH","32.01244 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Sep 2024","+0.00205 ETH","32.00832 ETH","32.01037 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Sep 2024","+0.00205 ETH","32.00627 ETH","32.00831 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Sep 2024","+0.00207 ETH","32.00419 ETH","32.00626 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Sep 2024","+0.00205 ETH","32.00213 ETH","32.00418 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Sep 2024","+0.00207 ETH","32.00006 ETH","32.00212 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Sep 2024","+0.00207 ETH","32.01721 ETH","32.00005 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Sep 2024","+0.00206 ETH","32.01514 ETH","32.0172 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Sep 2024","+0.00207 ETH","32.01306 ETH","32.01513 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Sep 2024","+0.00206 ETH","32.011 ETH","32.01305 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Sep 2024","+0.00206 ETH","32.00893 ETH","32.01099 ETH","1","0","0","0","0","0","0","0 ETH"
"03 Sep 2024","+0.00208 ETH","32.00685 ETH","32.00892 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Sep 2024","+0.00207 ETH","32.00478 ETH","32.00684 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Sep 2024","+0.00205 ETH","32.00272 ETH","32.00477 ETH","1","0","0","0","0","0","0","0 ETH"
"31 Aug 2024","+0.00205 ETH","32.00066 ETH","32.00271 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Aug 2024","+0.00205 ETH","32.06357 ETH","32.00065 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Aug 2024","+0.00207 ETH","32.0615 ETH","32.06356 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Aug 2024","+0.04792 ETH","32.01358 ETH","32.06149 ETH","0","1","0","0","0","0","0","0 ETH"
"27 Aug 2024","+0.00206 ETH","32.01151 ETH","32.01357 ETH","1","0","0","0","0","0","0","0 ETH"
"26 Aug 2024","+0.00208 ETH","32.00942 ETH","32.0115 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Aug 2024","+0.00206 ETH","32.00736 ETH","32.00941 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Aug 2024","+0.00207 ETH","32.00528 ETH","32.00735 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Aug 2024","+0.00205 ETH","32.00323 ETH","32.00528 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Aug 2024","+0.00205 ETH","32.00117 ETH","32.00322 ETH","1","0","0","0","0","0","0","0 ETH"
"21 Aug 2024","+0.00206 ETH","32.0182 ETH","32.00116 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Aug 2024","+0.00208 ETH","32.01612 ETH","32.01819 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Aug 2024","+0.00207 ETH","32.01404 ETH","32.01611 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Aug 2024","+0.00207 ETH","32.01196 ETH","32.01403 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Aug 2024","+0.00205 ETH","32.00989 ETH","32.01195 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Aug 2024","+0.00204 ETH","32.00786 ETH","32.0099 ETH","2","0","0","0","0","0","0","0 ETH"
"15 Aug 2024","+0.00206 ETH","32.0058 ETH","32.00785 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Aug 2024","+0.00208 ETH","32.00372 ETH","32.00579 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Aug 2024","+0.00206 ETH","32.00165 ETH","32.00371 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Aug 2024","+0.00206 ETH","32.01875 ETH","32.00164 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Aug 2024","+0.00208 ETH","32.01666 ETH","32.01874 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Aug 2024","+0.00208 ETH","32.01458 ETH","32.01665 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Aug 2024","+0.00208 ETH","32.01249 ETH","32.01457 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Aug 2024","+0.00209 ETH","32.0104 ETH","32.01248 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Aug 2024","+0.00208 ETH","32.00832 ETH","32.01039 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Aug 2024","+0.00207 ETH","32.00624 ETH","32.00831 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Aug 2024","+0.00206 ETH","32.00418 ETH","32.00623 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Aug 2024","+0.00209 ETH","32.00208 ETH","32.00417 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Aug 2024","+0.00208 ETH","32.01905 ETH","32.00207 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Aug 2024","+0.00208 ETH","32.01696 ETH","32.01904 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Aug 2024","+0.00209 ETH","32.01487 ETH","32.01696 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Jul 2024","+0.00208 ETH","32.01279 ETH","32.01486 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Jul 2024","+0.00208 ETH","32.01071 ETH","32.01278 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Jul 2024","+0.00206 ETH","32.00864 ETH","32.0107 ETH","1","0","0","0","0","0","0","0 ETH"
"28 Jul 2024","+0.00209 ETH","32.00654 ETH","32.00863 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Jul 2024","+0.00207 ETH","32.00447 ETH","32.00653 ETH","1","0","0","0","0","0","0","0 ETH"
"26 Jul 2024","+0.00207 ETH","32.00239 ETH","32.00446 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Jul 2024","+0.00209 ETH","32.0003 ETH","32.00238 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Jul 2024","+0.00209 ETH","32.06232 ETH","32.00029 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Jul 2024","+0.00209 ETH","32.06023 ETH","32.06231 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Jul 2024","+0.00207 ETH","32.05815 ETH","32.06022 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Jul 2024","+0.00207 ETH","32.05608 ETH","32.05814 ETH","1","0","0","0","0","0","0","0 ETH"
"20 Jul 2024","+0.00208 ETH","32.05399 ETH","32.05607 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Jul 2024","+0.00208 ETH","32.0519 ETH","32.05398 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Jul 2024","+0.00208 ETH","32.04981 ETH","32.05189 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Jul 2024","+0.00208 ETH","32.04771 ETH","32.0498 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Jul 2024","+0.04736 ETH","32.00036 ETH","32.04772 ETH","2","1","0","0","0","0","0","0 ETH"
"15 Jul 2024","+0.00206 ETH","32.01724 ETH","32.00035 ETH","1","0","0","0","0","0","0","0 ETH"
"14 Jul 2024","+0.00210 ETH","32.01513 ETH","32.01723 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Jul 2024","+0.00209 ETH","32.01303 ETH","32.01513 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Jul 2024","+0.00209 ETH","32.01094 ETH","32.01303 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Jul 2024","+0.00210 ETH","32.00883 ETH","32.01093 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Jul 2024","+0.00211 ETH","32.00671 ETH","32.00882 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Jul 2024","+0.00208 ETH","32.00463 ETH","32.00671 ETH","1","0","0","0","0","0","0","0 ETH"
"08 Jul 2024","+0.00209 ETH","32.00253 ETH","32.00462 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Jul 2024","+0.00209 ETH","32.00044 ETH","32.00252 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Jul 2024","+0.00210 ETH","32.01722 ETH","32.00043 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Jul 2024","+0.00209 ETH","32.01513 ETH","32.01721 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Jul 2024","+0.00209 ETH","32.01304 ETH","32.01512 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Jul 2024","+0.00211 ETH","32.01092 ETH","32.01303 ETH","0","0","0","0","0","0","0","0 ETH"
